GivenOrientation GivenName GivenID
North MonFalcon Portal Facade
South Unfinished Tower Facade
East Nave Flying Buttress
West Apse Spire
South Aisle Vault
South Ambulatory Portal
South Transept Rose Window
South Aisle Facade
North Aisle Facade
North Transept Facade
East Transept Tower
East Ambulatory Facade
East
South Aisle Buttress
South Transept Buttress
East Transept Buttress
North Aisle Buttress
North Transept Buttress
East Apse Buttress
West MonFalcon Portal Portal
South Painted Portal Portal
South Staircase Tower
South Nave Facade
South Transept Facade
South Transept Tower
East Facade
East Transept Facade
East Apse Facade
North
North Transept Tower
North Nave Facade
South Aisle Flying Buttress
North Aisle Flying Buttress
East Apse Flying Buttress
West MonFalcon Portal Buttress
South Belfry Tower
East Crossing Tower
North Crossing Tower
South Crossing Tower
West Crossing Tower
West Unfinished Tower Tower
West Unfinished Tower Buttress
North Unfinished Tower Buttress
Unfinished Tower Tower
North Unfinished Tower Tower
Narthex
West Unfinished Tower Facade
West Nave
West Narthex
West Belfry Tower
South
West
North Staircase Tower
